"","round","department","city","pdi","latitude","longitude","arcgis_address","score","location.x","location.y","extent.xmin","extent.ymin","extent.xmax","extent.ymax"
"1",6,"Ouest","Port-au-Prince",1318,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
"2",6,"Ouest","Port-au-Prince",6500,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
"3",6,"Ouest","Port-au-Prince",1206,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
"4",6,"Ouest","Delmas",70,18.5581224,-72.2971561,"Delmas, Port-au-Prince, L'Ouest",100,-72.2971561,18.5581224,-72.3321561,18.5231224,-72.2621561,18.5931224
"5",6,"Ouest","Carrefour",677,18.54114,-72.39922,"Carrefour, Port-au-Prince, Département de l'Ouest",100,-72.39922,18.54114,-72.48922,18.45114,-72.30922,18.63114
"6",6,"Ouest","Carrefour",195,18.54114,-72.39922,"Carrefour, Port-au-Prince, Département de l'Ouest",100,-72.39922,18.54114,-72.48922,18.45114,-72.30922,18.63114
"7",6,"Ouest","Carrefour",170,18.54114,-72.39922,"Carrefour, Port-au-Prince, Département de l'Ouest",100,-72.39922,18.54114,-72.48922,18.45114,-72.30922,18.63114
"8",6,"Ouest","Carrefour",75,18.54114,-72.39922,"Carrefour, Port-au-Prince, Département de l'Ouest",100,-72.39922,18.54114,-72.48922,18.45114,-72.30922,18.63114
"9",6,"Ouest","Carrefour",50,18.54114,-72.39922,"Carrefour, Port-au-Prince, Département de l'Ouest",100,-72.39922,18.54114,-72.48922,18.45114,-72.30922,18.63114
"10",6,"Ouest","Carrefour",50,18.54114,-72.39922,"Carrefour, Port-au-Prince, Département de l'Ouest",100,-72.39922,18.54114,-72.48922,18.45114,-72.30922,18.63114
"11",6,"Ouest","Carrefour",50,18.54114,-72.39922,"Carrefour, Port-au-Prince, Département de l'Ouest",100,-72.39922,18.54114,-72.48922,18.45114,-72.30922,18.63114
"12",6,"Ouest","Carrefour",40,18.54114,-72.39922,"Carrefour, Port-au-Prince, Département de l'Ouest",100,-72.39922,18.54114,-72.48922,18.45114,-72.30922,18.63114
"13",6,"Ouest","Port-au-Prince",5,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
"14",6,"Ouest","Port-au-Prince",9750,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
"15",6,"Ouest","Port-au-Prince",2255,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
"16",6,"Ouest","Port-au-Prince",1690,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
"17",6,"Ouest","Gressier",764,18.5386508,-72.4856259,"Gressier, Port-au-Prince, L'Ouest",100,-72.4856259,18.5386508,-72.5366259,18.4876508,-72.4346259,18.5896508
"18",6,"Ouest","Gressier",500,18.5386508,-72.4856259,"Gressier, Port-au-Prince, L'Ouest",100,-72.4856259,18.5386508,-72.5366259,18.4876508,-72.4346259,18.5896508
"19",6,"Ouest","Léogâne",0,18.5111,-72.63343,"Léogâne, Leyogàn, Département de l'Ouest",100,-72.63343,18.5111,-72.68343,18.4611,-72.58343,18.5611
"20",6,"Ouest","Delmas",671,18.5581224,-72.2971561,"Delmas, Port-au-Prince, L'Ouest",100,-72.2971561,18.5581224,-72.3321561,18.5231224,-72.2621561,18.5931224
"21",6,"Ouest","Delmas",544,18.5581224,-72.2971561,"Delmas, Port-au-Prince, L'Ouest",100,-72.2971561,18.5581224,-72.3321561,18.5231224,-72.2621561,18.5931224
"22",6,"Ouest","Tabarre",950,18.5733511,-72.2660827,"Tabarre, Port-au-Prince, L'Ouest",100,-72.2660827,18.5733511,-72.3070827,18.5323511,-72.2250827,18.6143511
"23",6,"Ouest","Pointe à Raquette",260,18.7851563,-73.0645841,"Pointe à Raquette, La Gonave, L'Ouest",100,-73.0645841,18.7851563,-73.1975841,18.6521563,-72.9315841,18.9181563
"24",6,"Ouest","Léogâne",3950,18.5111,-72.63343,"Léogâne, Leyogàn, Département de l'Ouest",100,-72.63343,18.5111,-72.68343,18.4611,-72.58343,18.5611
"25",6,"Ouest","Petit-Goâve",30,18.4339516,-72.8612893,"Petit-Gôave, Léogane, L'Ouest",100,-72.8612893,18.4339516,-72.9762893,18.3189516,-72.7462893,18.5489516
"26",6,"Ouest","Cité Soleil",0,18.5935228,-72.3241814,"Cité Soleil, Port-au-Prince, L'Ouest",100,-72.3241814,18.5935228,-72.3591814,18.5585228,-72.2891814,18.6285228
"27",6,"Ouest","Cité Soleil",0,18.5935228,-72.3241814,"Cité Soleil, Port-au-Prince, L'Ouest",100,-72.3241814,18.5935228,-72.3591814,18.5585228,-72.2891814,18.6285228
"28",6,"Ouest","Cité Soleil",0,18.5935228,-72.3241814,"Cité Soleil, Port-au-Prince, L'Ouest",100,-72.3241814,18.5935228,-72.3591814,18.5585228,-72.2891814,18.6285228
"29",6,"Ouest","Cité Soleil",0,18.5935228,-72.3241814,"Cité Soleil, Port-au-Prince, L'Ouest",100,-72.3241814,18.5935228,-72.3591814,18.5585228,-72.2891814,18.6285228
"30",6,"Ouest","Cité Soleil",0,18.5935228,-72.3241814,"Cité Soleil, Port-au-Prince, L'Ouest",100,-72.3241814,18.5935228,-72.3591814,18.5585228,-72.2891814,18.6285228
"31",6,"Ouest","Pétion-Ville",0,18.5166745,-72.2831217,"Pétion-Ville, Port-au-Prince, L'Ouest",100,-72.2831217,18.5166745,-72.3701217,18.4296745,-72.1961217,18.6036745
"32",6,"Ouest","Carrefour",500,18.54114,-72.39922,"Carrefour, Port-au-Prince, Département de l'Ouest",100,-72.39922,18.54114,-72.48922,18.45114,-72.30922,18.63114
"33",6,"Ouest","Carrefour",300,18.54114,-72.39922,"Carrefour, Port-au-Prince, Département de l'Ouest",100,-72.39922,18.54114,-72.48922,18.45114,-72.30922,18.63114
"34",6,"Ouest","Pointe à Raquette",180,18.7851563,-73.0645841,"Pointe à Raquette, La Gonave, L'Ouest",100,-73.0645841,18.7851563,-73.1975841,18.6521563,-72.9315841,18.9181563
"35",6,"Ouest","Pétion-Ville",149,18.5166745,-72.2831217,"Pétion-Ville, Port-au-Prince, L'Ouest",100,-72.2831217,18.5166745,-72.3701217,18.4296745,-72.1961217,18.6036745
